Genome,Signature
7688_1#88,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
4502_3#1,NA
Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#1,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#48,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7688_1#86,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#38,NA
30073_1#211,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#96,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#23,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_8#3,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_6#6,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#68,NA
30073_1#347,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_7#4,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#63,NA
4502_3#6,NA
11893_2#45,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#16,NA
30073_1#26,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#39,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7688_1#89,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#45,NA
SRR1967894,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#46,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#58,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#8,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#9,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#149,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#351,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#33,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#35,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#101,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#37,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#51,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#30,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#44,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#25,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#359,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
4502_3#2,NA
30073_1#319,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#2,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGEU,NA
QGFS,NA
30073_1#343,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#199,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#6,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#37,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#50,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#227,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#43,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#174,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#13,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#24,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#93,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#15,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#5,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#29,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#38,NA
11893_2#67,NA
30073_1#5,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#24,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#42,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#11,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#95,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#19,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#52,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
SRR3049388,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#12,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#62,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#2,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#46,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#56,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#34,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#363,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#47,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#42,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#170,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#323,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#45,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#215,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#30,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#23,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_8#4,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#59,flipped
7712_6#32,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#32,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#17,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#12,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#64,NA
9471_8#4,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#92,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#60,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#203,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#125,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#74,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#33,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
