geneA,geneB,11893_2#33,11893_2#34,11893_2#35,11893_2#36,11893_2#40,11893_2#57,11940_1#35,5886_7#7,7712_6#19,7712_6#20,11439_1#96,11893_2#51,11893_2#52,11893_2#53,11893_2#55,11893_2#56,11893_2#58,4502_3#7,4502_3#8,5886_7#4,5886_8#4,5886_8#5,7688_1#89,7712_6#14,7978_7#3,9471_8#11,9471_8#12,9471_8#13,9471_8#27,9471_8#34,9471_8#38,9471_8#40,9471_8#41,9471_8#42,9471_8#44,9471_8#45,9471_8#46,9471_8#47,9471_8#48,9471_8#5,11893_2#45,11893_2#46,5886_7#6,9471_8#16,9471_8#19,9471_8#2,9471_8#20,9471_8#24,9471_8#25,9471_8#26,9471_8#35,9471_8#36,9471_8#4,9471_8#8,4502_3#4,4502_3#5,7688_1#86,7688_1#87,7688_1#88,7688_1#90,7712_6#1,7712_6#21,7969_8#34,7969_8#45,9471_8#17,9471_8#21,9471_8#22,9471_8#23,9471_8#29,9471_8#32,9471_8#33,9471_8#6,11893_2#47,11893_2#48,11893_2#49,11893_2#50,11893_2#59,11893_2#60,5886_6#6,5886_8#1,5886_8#6,9471_8#18,9471_8#30,9471_8#39,9471_8#7,SRR1965575,SRR1967894,SRR3049388,5886_7#3,5886_7#5,9471_8#3,9471_8#43,9471_8#9,11893_2#37,11940_1#36,5886_8#2,5886_8#3,7712_6#11,7712_6#12,7712_6#13,7712_6#15,7712_6#17,7712_6#18,7712_6#2,7712_6#22,7712_6#23,7712_6#24,7712_6#25,7712_6#26,7712_6#27,7712_6#28,7712_6#29,7712_6#3,7712_6#30,7712_6#31,7712_6#32,7712_6#33,7712_6#34,7712_6#35,7712_6#36,7712_6#37,7712_6#4,7712_6#5,7712_6#7,7712_6#8,7712_6#9,9471_8#14,9471_8#15,9471_8#28,11439_1#1,11439_1#2,11439_1#3,11439_1#4,11439_1#5,11439_1#6,11439_1#7,11439_1#8,11439_1#90,11439_1#91,11439_1#92,11439_1#93,11439_1#94,11439_1#95,11893_2#42,11940_1#39,7712_6#10,30073_1#10,30073_1#101,30073_1#105,30073_1#109,30073_1#113,30073_1#117,30073_1#121,30073_1#125,30073_1#129,30073_1#13,30073_1#133,30073_1#137,30073_1#149,30073_1#153,30073_1#158,30073_1#162,30073_1#166,30073_1#170,30073_1#174,30073_1#178,30073_1#18,30073_1#182,30073_1#187,30073_1#191,30073_1#195,30073_1#199,30073_1#2,30073_1#203,30073_1#206,30073_1#207,30073_1#21,30073_1#210,30073_1#211,30073_1#214,30073_1#215,30073_1#219,30073_1#223,30073_1#227,30073_1#231,30073_1#235,30073_1#239,30073_1#243,30073_1#26,30073_1#29,30073_1#319,30073_1#323,30073_1#327,30073_1#331,30073_1#335,30073_1#339,30073_1#34,30073_1#343,30073_1#347,30073_1#351,30073_1#355,30073_1#359,30073_1#363,30073_1#364,30073_1#368,30073_1#37,30073_1#372,30073_1#376,30073_1#380,30073_1#42,30073_1#45,30073_1#49,30073_1#5,30073_1#54,30073_1#57,30073_1#62,30073_1#65,30073_1#71,30073_1#74,30073_1#79,30073_1#82,30073_1#86,30073_1#89,30073_1#93,30073_1#97,Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1
frmR,hypA_3,98,98,98,98,98,98,98,98,99,99,98,98,98,98,98,99,98,Diff_contigs,99,98,98,98,98,98,98,97,98,145,98,98,145,98,98,98,98,98,98,98,98,98,98,99,98,98,99,98,98,98,98,98,98,98,98,98,Diff_contigs,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,83,Diff_contigs,102,97,Diff_contigs,Diff_contigs,102,102,98,100,102,102,Diff_contigs,98,98,98,102,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,100,98,98,98,98,98,98,97,Diff_contigs,98,98,97,Diff_contigs,98,98,98,Diff_contigs,98,98,98,98,98,98,98,98,98,98,Diff_contigs,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,Diff_contigs,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,98,Diff_contigs,98,95
frmR,ompC_1,99,99,99,99,99,99,99,99,100,100,99,99,99,99,99,100,99,Diff_contigs,100,99,99,99,99,99,99,98,99,146,99,99,146,99,99,99,99,99,99,99,99,99,99,100,99,99,100,99,99,99,99,99,99,99,99,99,Diff_contigs,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,84,Diff_contigs,103,98,Diff_contigs,Diff_contigs,103,103,99,101,103,103,Diff_contigs,99,99,99,103,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,NA,101,101,101,101,101,99,99,99,99,99,99,98,Diff_contigs,99,99,98,Diff_contigs,99,99,99,Diff_contigs,99,99,99,99,99,99,99,99,99,99,Diff_contigs,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,Diff_contigs,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,Diff_contigs,99,96
frmR,group_2774,101,101,101,101,101,101,101,101,102,102,101,101,101,101,101,102,101,Diff_contigs,102,101,101,101,101,101,101,100,101,148,101,101,148,101,101,101,101,101,101,101,101,101,101,102,101,101,102,101,101,101,101,101,101,101,101,101,Diff_contigs,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,86,Diff_contigs,105,100,Diff_contigs,Diff_contigs,105,105,101,103,105,105,Diff_contigs,101,101,101,105,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,NA,103,103,103,103,103,101,101,101,101,101,101,100,Diff_contigs,101,101,100,Diff_contigs,101,101,101,Diff_contigs,101,101,101,101,101,101,101,101,101,101,Diff_contigs,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,102,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,Diff_contigs,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,102,101,Diff_contigs,101,98
frmR,group_2775,102,102,102,102,102,102,102,102,103,103,102,102,102,102,102,103,102,Diff_contigs,103,102,102,102,102,102,102,101,102,149,102,102,149,102,102,102,102,102,102,102,102,102,102,103,102,102,103,102,102,102,102,102,102,102,102,102,Diff_contigs,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,87,Diff_contigs,106,101,Diff_contigs,Diff_contigs,106,106,102,104,106,106,Diff_contigs,102,102,102,106,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,NA,104,104,104,104,104,102,102,102,102,102,102,101,Diff_contigs,102,102,101,Diff_contigs,102,102,102,Diff_contigs,102,102,102,102,102,102,102,102,102,102,Diff_contigs,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,Diff_contigs,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,102,Diff_contigs,102,99
frmR,glsA,103,103,103,103,103,103,103,103,104,104,103,103,103,103,103,104,103,Diff_contigs,104,103,103,103,103,103,103,102,103,150,103,103,150,103,103,103,103,103,103,103,103,103,103,104,103,103,104,103,103,103,103,103,103,103,103,103,Diff_contigs,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,88,Diff_contigs,107,102,Diff_contigs,Diff_contigs,107,107,103,105,107,107,Diff_contigs,103,103,103,107,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,NA,105,105,105,105,105,103,103,103,103,103,103,102,Diff_contigs,103,103,102,Diff_contigs,103,103,103,Diff_contigs,103,103,103,103,103,103,103,103,103,103,Diff_contigs,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,104,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,Diff_contigs,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,104,103,Diff_contigs,103,100
frmR,sad_2,104,104,104,104,104,104,104,104,105,105,104,104,104,104,104,105,104,Diff_contigs,105,104,104,104,104,104,104,103,104,151,104,104,151,104,104,104,104,104,104,104,104,104,104,105,104,104,105,104,104,104,104,104,104,104,104,104,Diff_contigs,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,89,Diff_contigs,108,103,Diff_contigs,Diff_contigs,108,108,104,106,108,108,Diff_contigs,104,104,104,108,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,NA,106,106,106,106,106,104,104,104,104,104,104,103,Diff_contigs,104,104,103,Diff_contigs,104,104,104,Diff_contigs,104,104,104,104,104,104,104,104,104,104,Diff_contigs,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,105,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,Diff_contigs,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,105,104,Diff_contigs,104,101
frmR,group_544,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
frmR,yjjL_2,86,86,86,86,86,86,86,86,87,87,86,86,86,86,86,87,86,Diff_contigs,87,86,86,86,86,86,86,85,86,133,86,86,133,86,86,86,86,86,86,86,86,86,86,87,86,86,87,86,86,86,86,86,86,86,86,86,Diff_contigs,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,70,85,89,84,Diff_contigs,Diff_contigs,89,89,85,87,89,89,Diff_contigs,86,86,86,90,84,84,84,137,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,NA,88,88,88,88,88,86,86,86,86,86,86,85,Diff_contigs,86,86,85,Diff_contigs,86,86,86,Diff_contigs,86,86,86,86,86,86,86,86,86,86,Diff_contigs,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,Diff_contigs,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,Diff_contigs,86,83
frmR,group_556,87,87,87,87,87,87,87,87,88,88,87,87,87,87,87,88,87,Diff_contigs,88,87,87,87,87,87,87,86,87,134,87,87,134,87,87,87,87,87,87,87,87,87,87,88,87,87,88,87,87,87,87,87,87,87,87,87,Diff_contigs,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,71,86,90,85,Diff_contigs,Diff_contigs,90,90,86,88,90,90,Diff_contigs,87,87,87,91,85,85,85,138,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,NA,89,89,89,89,89,87,87,87,87,87,87,86,Diff_contigs,87,87,86,Diff_contigs,87,87,87,Diff_contigs,87,87,87,87,87,87,87,87,87,87,Diff_contigs,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,Diff_contigs,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,Missing_in_one,87,Diff_contigs,87,84
frmR,pcpB,83,83,83,83,83,83,83,83,84,84,83,83,83,83,83,84,83,Diff_contigs,83,83,83,83,83,83,83,82,83,130,83,83,130,83,83,83,83,83,83,83,83,83,83,84,83,83,84,83,83,83,83,83,83,83,83,83,Diff_contigs,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,67,82,86,81,Diff_contigs,Diff_contigs,86,86,82,84,86,86,Diff_contigs,83,83,83,Missing_in_one,81,81,81,134,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,NA,85,85,85,85,85,83,83,83,83,83,83,83,Diff_contigs,83,83,82,Diff_contigs,83,83,83,82,83,83,83,83,83,83,83,83,83,83,Diff_contigs,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,Missing_in_one,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,Diff_contigs,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,Diff_contigs,83,80
frmR,tetA_1,84,84,84,84,84,84,84,84,85,85,84,84,84,84,84,85,84,Diff_contigs,84,84,84,84,84,84,84,83,84,131,84,84,131,84,84,84,84,84,84,84,84,84,84,85,84,84,85,84,84,84,84,84,84,84,84,84,Diff_contigs,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,68,83,87,82,Diff_contigs,Diff_contigs,87,87,83,85,87,87,Diff_contigs,84,84,84,88,82,82,82,135,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,NA,86,86,86,86,86,84,84,84,84,84,84,Missing_in_one,Diff_contigs,84,84,83,Diff_contigs,84,84,84,Missing_in_one,84,84,84,84,84,84,84,84,84,84,Diff_contigs,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,Diff_contigs,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,Diff_contigs,84,81
group_1218,group_1221,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,13,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,Diff_contigs,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12
group_1218,norV_2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,Diff_contigs,15,15,15,15,15,15,15,15,15,15,15,14,14,14,15,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,NA,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,Diff_contigs,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14
group_1218,group_1223,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,Diff_contigs,19,19,19,19,19,19,19,19,19,19,19,18,18,18,19,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,NA,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,Diff_contigs,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18
group_1218,group_131,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Diff_contigs,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
group_1218,group_270,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Missing_in_one,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,139,Diff_contigs,158,153,Diff_contigs,Diff_contigs,Diff_contigs,158,Diff_contigs,156,Diff_contigs,Diff_contigs,Diff_contigs,154,154,154,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,157,157,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,NA,156,156,156,156,156,154,154,155,155,155,155,156,Diff_contigs,155,154,154,Diff_contigs,156,154,155,154,155,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,154
group_1218,artM_1,89,89,89,89,89,89,89,89,90,90,89,89,89,89,89,90,89,Diff_contigs,89,89,89,89,89,89,89,88,89,136,89,89,136,89,89,89,89,89,89,89,89,89,89,90,89,89,90,89,89,89,89,89,89,89,89,89,Diff_contigs,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,73,88,92,87,Diff_contigs,Diff_contigs,92,92,88,90,92,92,Diff_contigs,89,89,89,92,87,87,87,140,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,NA,91,91,91,91,91,89,89,90,90,90,90,90,Diff_contigs,90,89,89,Diff_contigs,90,89,90,88,90,89,89,89,89,89,89,89,89,89,Diff_contigs,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,Diff_contigs,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,Diff_contigs,89,86
group_1218,group_2747,84,84,84,84,84,84,84,84,85,85,84,84,84,84,84,85,84,Diff_contigs,84,84,84,84,84,84,84,83,84,131,84,84,131,84,84,84,84,84,84,84,84,84,84,85,84,84,85,84,84,84,84,84,84,84,84,84,Diff_contigs,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,68,83,87,82,Diff_contigs,Diff_contigs,87,87,83,85,87,87,Diff_contigs,84,84,84,87,82,82,82,135,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,NA,86,86,86,86,86,84,84,85,85,85,85,85,Diff_contigs,85,84,84,Diff_contigs,85,84,85,83,85,84,84,84,84,84,84,84,84,84,Diff_contigs,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,Diff_contigs,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,Diff_contigs,84,81
group_1218,mleN,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,55,8,8,55,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,8,12,7,Diff_contigs,Diff_contigs,12,12,8,10,12,12,Diff_contigs,11,11,11,12,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,12,12,12,12,12,9,9,9,9,9,9,9,Diff_contigs,9,9,8,Diff_contigs,9,9,9,8,9,8,8,8,8,8,8,8,8,8,Diff_contigs,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Diff_contigs,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Diff_contigs,8,7
group_1218,pdhR_4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,Diff_contigs,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6
group_1218,hyaB_1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,Diff_contigs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9
