Genome,Signature
30073_1#364,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#46,group_543:yecS_1:frmA:trg_3
11893_2#71,group_543:yecS_1:frmA:trg_3
7712_6#20,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#327,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#74,group_543:yecS_1:frmA:trg_3
5886_7#1,group_543:yecS_1:frmA:trg_3
30073_1#153,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#376,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#3,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11940_1#39,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#3,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#3,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
30073_1#335,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7978_7#3,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7688_1#90,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#48,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#206,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#15,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#70,group_543:yecS_1:frmA:trg_3
7712_6#28,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#36,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#13,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#35,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#34,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#166,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#16,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#2,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
11893_2#62,group_543:yecS_1:frmA:trg_3
30073_1#219,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#73,group_543:yecS_1:frmA:trg_3
9471_8#34,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#25,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#13,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#2,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#31,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#71,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11940_1#36,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#33,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11940_1#35,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7969_8#45,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#210,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#231,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#129,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#8,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#223,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#1,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#22,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#34,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#55,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#162,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#8,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#36,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_8#2,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#94,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
30073_1#137,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#79,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
4502_3#3,group_543:yecS_1:frmA:trg_3
QGEP,group_543:yecS_1:frmA:trg_3
7688_1#87,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#91,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
30073_1#187,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGES,group_543:yecS_1:frmA:trg_3
4502_3#5,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#239,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
SRR1965575,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#65,group_543:yecS_1:frmA:trg_3
9471_8#20,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#65,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#117,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#380,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#5,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#11,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#9,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#40,group_543:yecS_1:frmA:trg_3
7712_6#36,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#14,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_8#1,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#22,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_8#6,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#40,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#5,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#57,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_7#2,group_543:yecS_1:frmA:trg_3
11439_1#7,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
30073_1#89,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGEN,group_543:yecS_1:frmA:trg_3:trg_3
7712_6#29,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_7#3,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#38,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#21,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#97,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_8#5,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#195,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#86,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#19,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:frmA:trg_3
9471_8#21,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#44,group_543:yecS_1:frmA:trg_3
11893_2#66,group_543:yecS_1:frmA:trg_3
30073_1#339,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_7#6,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#57,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#42,group_543:yecS_1:frmA:trg_3
11893_2#72,group_543:yecS_1:frmA:trg_3
11893_2#41,group_543:yecS_1:frmA:trg_3
30073_1#121,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#37,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#39,group_543:yecS_1:frmA:trg_3
5886_7#7,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#39,group_543:yecS_1:frmA:trg_3
30073_1#133,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#372,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#113,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#10,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
30073_1#18,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGFR,group_543:yecS_1:frmA:trg_3
9471_8#14,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#93,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#18,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#49,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#35,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#75,group_543:yecS_1:frmA:trg_3
11893_2#47,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#18,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
4502_3#4,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#7,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#207,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#28,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7969_8#34,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_7#5,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#90,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
4502_3#7,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGFG,group_543:yecS_1:frmA:trg_3
30073_1#191,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGFA,group_543:yecS_1:frmA:trg_3
11893_2#61,group_543:yecS_1:frmA:trg_3
9471_8#27,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#17,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#105,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#26,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#10,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
4502_3#8,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#4,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#21,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#243,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7688_1#88,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
4502_3#1,group_543:yecS_1:frmA:trg_3
Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#1,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#48,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7688_1#86,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#38,group_543:yecS_1:frmA:trg_3
30073_1#211,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#96,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#23,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_8#3,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_6#6,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#68,group_543:yecS_1:frmA:trg_3
30073_1#347,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_7#4,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#63,group_543:yecS_1:frmA:trg_3
4502_3#6,group_543:yecS_1:frmA:trg_3
11893_2#45,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#16,group_543:group_543:yecS_1:frmA:trg_3
30073_1#26,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#39,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7688_1#89,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#45,group_543:yecS_1:frmA:trg_3
SRR1967894,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#46,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#58,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#8,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#9,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#149,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#351,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#33,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#35,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#101,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#37,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#51,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#30,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#44,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#25,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#359,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
4502_3#2,group_543:yecS_1:frmA:trg_3
30073_1#319,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#2,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGEU,group_543:yecS_1:frmA:trg_3
QGFS,group_543:yecS_1:frmA:trg_3
30073_1#343,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#199,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#6,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#37,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#50,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#227,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#43,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#174,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#13,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#24,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#93,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#15,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#5,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#29,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#38,group_543:yecS_1:frmA:trg_3
11893_2#67,group_543:yecS_1:frmA:trg_3
30073_1#5,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#24,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#42,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#11,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
